activity_id,date,intensity,rolling%,Comment,,,,,
7,2014-07-31 19:00:53,,,,,,,,
7,2014-07-31 19:01:04,,,,,,,,
7,2014-07-31 19:01:14,,,,,,,,
6,2014-07-31 19:01:24,,,,,,,,
7,2014-07-31 19:01:35,,,,,,,,
6,2014-07-31 19:01:45,,,,,,,,
7,2014-07-31 19:01:55,,,,,,,,
7,2014-07-31 19:02:05,,,,,,,,
7,2014-07-31 19:02:16,,,,,,,,
7,2014-07-31 19:02:26,,,,,,,,
7,2014-07-31 19:02:36,,,,,,,,
7,2014-07-31 19:02:47,,,,,,,,
7,2014-07-31 19:02:57,,,,,,,,
7,2014-07-31 19:03:07,,,,,,,,
7,2014-07-31 19:03:18,,,,,,,,
7,2014-07-31 19:03:28,,,,,,,,
7,2014-07-31 19:03:38,,,,,,,,
7,2014-07-31 19:03:48,,,,,,,,
6,2014-07-31 19:03:59,,,,,,,,
7,2014-07-31 19:04:09,,,,,,,,
7,2014-07-31 19:04:19,,,,,,,,
7,2014-07-31 19:04:30,,,,,,,,
7,2014-07-31 19:04:40,,,,,,,,
7,2014-07-31 19:04:50,,,,,,,,
7,2014-07-31 19:05:01,,,,,,,,
7,2014-07-31 19:05:11,,,,,,,,
7,2014-07-31 19:05:21,,,,,,,,
6,2014-07-31 19:05:31,,,,,,,,
6,2014-07-31 19:05:42,,,,,,,,
6,2014-07-31 19:05:52,,,,,,,,
7,2014-07-31 19:06:02,,,,,,,,
7,2014-07-31 19:06:13,,,,,,,,
6,2014-07-31 19:06:23,,,,,,,,
7,2014-07-31 19:06:33,,,,,,,,
7,2014-07-31 19:06:44,,,,,,,,
6,2014-07-31 19:06:54,,,,,,,,
7,2014-07-31 19:07:04,,,,,,,,
6,2014-07-31 19:07:14,,,,,,,,
7,2014-07-31 19:07:25,,,,,,,,
6,2014-07-31 19:07:35,,,,,,,,
7,2014-07-31 19:07:45,,,,,,,,
7,2014-07-31 19:07:56,,,,,,,,
7,2014-07-31 19:08:06,,,,,,,,
6,2014-07-31 19:08:16,,,,,,,,
7,2014-07-31 19:08:27,,,,,,,,
7,2014-07-31 19:08:37,,,,,,,,
7,2014-07-31 19:08:47,,,,,,,,
7,2014-07-31 19:08:57,,,,,,,,
7,2014-07-31 19:09:08,,,,,,,,
7,2014-07-31 19:09:18,,,,,,,,
6,2014-07-31 19:09:28,,,,,,,,
6,2014-07-31 19:09:39,,,,,,,,
6,2014-07-31 19:09:49,,,,,,,,
6,2014-07-31 19:09:59,,,,,,,,
6,2014-07-31 19:10:10,,,,,,,,
6,2014-07-31 19:10:20,,,,,,,,
6,2014-07-31 19:10:30,,,,,,,,
6,2014-07-31 19:10:40,,,,,,,,
6,2014-07-31 19:10:51,,,,,,,,
6,2014-07-31 19:11:01,,,,,,,,
6,2014-07-31 19:11:11,,,,,,,,
6,2014-07-31 19:11:22,,,,,,,,
6,2014-07-31 19:11:32,,,,,,,,
6,2014-07-31 19:11:42,,,,,,,,
6,2014-07-31 19:11:53,,,,,,,,
6,2014-07-31 19:12:03,,,,,,,,
6,2014-07-31 19:12:13,1,,,,,,,
6,2014-07-31 19:12:23,,,,,,,,
6,2014-07-31 19:12:34,,,,,,,,
5,2014-07-31 19:12:44,1,,,,,,,
6,2014-07-31 19:12:54,4,,,,,,,
6,2014-07-31 19:13:05,,,,,,,,
